Date,Text
2025-06-13 18:09:59+00:00,"День 7 на новой работе
Сегодня был созвон на 1+ час с тимлидом, потому что у меня были вопросы по ревью. Я был не согласен с замечаниями, и мне надо было понять как это работает в команде и какие у меня есть границы в принятии решений. Еще были вопросы по подходу к тестированию. Получился очень интересный диалог, я бы хотел задержаться в этой компании, потому что уровень инженерной культуры и организации проектов прям очень высокий. Нраица. Еще радует, что в команде все общаются без мата, люблю такое.
Из питонячьих штук, у меня отвалился дебаггер на проекте с Джанго и методом исключения я понял что это не в редакторе (проблема проявляется и в вскод), и проблема не с ОС, потому что другой проект на Джанго работает как задумано. Это что то специфичное для окружения проекта или параметров. Похоже на то, что при попытке вызова чего либо в треде дебаггера все треды падают с ошибкой (находил похожее описание на стак оверфлоу, но без решения).
Из активностей, стримы вести так и не получается, я слишком отвлекаюсь на чат и общение,а хотелось бы работать. Скорее всего буду это вводить на регулярной основе в формате трансляций на заданную тему. Кстати, скоро выпущу первую версию бесплатного курса по питону. На выходных постараюсь все замонтировать. На самом деле по базовому питону инфы достаточно, но для более сложных вещей нужно быть уверенным, что база для этого у слушателя есть.
По поводу работы и переката в айти и поиска работы моя позиция такая: Если за год не удалось, значит что то делаете не так. Я не консультирую по карьере, но просто рекомендую не воспринимать заголовки «ты не найдешь работу в айти в 2025 году» от блоггеров на веру. Хорошие спецы всегда нужны, не важно это разработчики или сантехники
Спасибо всем, кто читает и комментирует, и не стесняйтесь писать, если хотите узнать что-то подробнее, рад буду поделиться"
2025-06-12 20:39:16+00:00,"Напишите в комментах, почему читаете этот канал, а то я забыл зачем я его веду"
2025-06-11 21:09:25+00:00,"День 5 на новой работе
Сегодня часть рабочего дня потратил на пайчарм. Оказалось, что питоновский дебагер вылетает, и такого раньше не было. Причину я пока не нашел, но кейс странный. Около 3 часов дня потратил на это, и пришлось засидеться вечером, потому что работа не работалась пока я искал причину. Из плюсов, доделал еще одну таску, завтра отправлю в тестирование. По вчерашней таске пришел фидбек, надо там кое что поправить, тоже остается на завтра.
Был еще созвон про сторипоинты, в которых нужно будет оценивать задачу, и здесь наверное будет шутка про 8+8=13
На самом деле куча всего интересного о чем хочется рассказать, но я не могу об этом рассказывать, просто знайте это
😅"
2025-06-10 19:59:12+00:00,"День 4 на новой работе
Доделал таску, по-простому, потому что решил не усложнять в условиях неполной картины требований. Отправил тимлиду на проверку и озвучил три варианта как планировал ее сделать. В итоге, нужно было переделать на другой озвученный вариант, переписал код и поправил тесты за полчаса, но столкнулся с 500 ошибкой от сервера, пофиксил и отправил на ревью. Апрув получен, и отправил задачу в тестирование. Взял в работу следующую задачу.
Пока работал над задачей отметил что классно был написан фронтенд, и позволяет динамически формировать данные, в зависимости от типов приходящих данных. Т.е. фронтенд не знает о том, какие поля он будет отрисовывать и в коде ожидаемые поля никак не фигурируют, только их типы. Очень понравилась такая реализация.
В питонячем коде встретил такую конструкцию dict1 |= dict2, как короткое написание dict1.update(dict2). Приятный сюрприз узнать что-то новое. В совокупе с тем, что сейчас активно юзаю podman и пробую работу с кластерами в gcp, появилось желание записать новые обучающие видосы на ютуб.
Вчера настроил 4к монитор, что стало комфортно работать. Можно  сказать что купил его, чисто для того, чтобы pycharm со всеми сайдбарами влазил в экран. Пока все, держу в курсе"
2025-06-09 17:23:10+00:00,"День 3 на новой работе
С утра продолжил ту же задачу, что посмотрел в пятницу вечером. Свежим взглядом понял, что пошел не туда. Понял, что необходимая мне логика должна быть где то на уровне выше. Потом оказалось что я еще раз ушел не туда, а ошибка была банально простая.
Обычно в начале рабочего дня я делаю обновление проекта, чтобы стянуть обновления из гита. В этот раз, возможно из-за стресса, я пропустил этот шаг. Оказалось что интерфейс подъехал новый фронтенд, а у меня была версия проекта за четверг. После обновления, количество непонятностей стало меньше, к этому моменту я уже прошерстил конфлденс, прочитал доку о том, какие есть кейсы для текущей логики, ну и просмотрел всю логику бекенда и фронтенда связанной с этой задачей. Надеюсь, это будет полезно в будущем.
Во второй половине дня начал читать информацию о процессе доставки изменений, какие есть правила ведения задачи, именования и как это все доставить на стенд. В итоге, я вроде все сделал правильно, но кажется что то упустил, потому что на стенд я так и выкатил. Написал вопрос в рабочем чате, но он не отправился, потому что какие то проблемы со связью, то ли мой интернет, то ли рабочий впн. С утра уже буду с этим разбираться
Могу сказать, что я недоволен своей продуктивностью и могу лучше, потому что замена одной строки странным образом растянулась на весь день. Такие дела"
2025-06-06 18:25:51+00:00,"День 2 на новой работе
Вчера написал что страха нет, оказалось он пришел с запозданием :D
Сегодня разбили планы и задачи на следующий спринт и я приятно офигел от крутости задач, которые берут в работу ребята из моей команды. С другой стороны сильно включился синдром самозванца, а затащу ли я такой уровень. В понедельник буду работать над первой задачей из списка из 8, которые нужно будет сделать мне.
В конце рабочего дня взял одну и решил чекнуть, что там сделать. Результат поиска вывел меня на код библиотеки в зависимостях, а не основном коде, надо будет глубже разбираться и это уже оставил на понедельник.
В общем, много чего классного внутри команды будет происходить в плане разработки, я в предвкушении.
Еще сегодня созвонился с тимлидом и менеджером, плюс стендап и планы, суммарно созвонов вышло часов на 3+, мне кажется за последние месяцы я немного отвык от этого. Потому что какое бы приятное общение не было, моя социальная батарейка разряжается и мне потом хочется лежать лицом в подушку.
Из интересного: познакомился на маке с такой штукой как Stage Manager (управление вкладками приложений стало намного удобнее) +1 к пониманию и принятию macOS."
2025-06-05 18:06:41+00:00,"День 1 на новой работе
Сегодня получил доступы и план онбординга. Основные задачи были это разобраться с документами о трудоустройстве и установить все необходимые приложения. Так же познакомился с ребятами из команды на созвоне и договорился сходить попить кофе на выходных.
На завтра - нужно будет запустить приложение над которым я буду работать. Мне предстоит работать с интересным проектом, посмотрел уже вживую как устроен паплайн и сборка проекта. Там достаточно простой для восприятия процесс, который по конвееру прогоняет и собирает билды с новыми версиями приложений, которые можно опробовать потом на доступных стендах.
Немного удивило, что в рабочем календаре выделены специальные часы для игру, которую разрабатывает компания, если бы я работал в офисе, можно было бы гонять в приставку в рабочее время прям в офисе. Интересно во многих геймдев компаниях так? :D
Если говорить про себя, то страха и волнения уже нет, есть понимание что дальше будет непонятно, но это воспринимается как ожидаемое, и в будущем будет решено. По опыту предыдущих работ понимаю, что в любом случае найду решение проблемы.
И честно говоря непривычно, когда на мне не висят таски. Ощущается, как будто отлыниваю от работы, хотя мозгом все понимаю, но так и выглядит рабочий вайб. Надеюсь закончу онбординг побыстрее и начну уже писать код."
2025-06-04 16:06:32+00:00,"Завтра выхожу на новую работу.
Вчера получил рабочий ноут, это макбук на m4, с виду выглядит хорошо, по производительности не проверял.
Мне предстоит три месяца испытательного срока, полностью на удаленке. Остальные детали работы расскажу уже после. На данный момент могу только рассказать про поиск и как проходило собеседование.
Я упаковал свой линкедин, на Хабре резюме не обновлял (планировал сделать это позже), а на хх у меня нет аккаунта. Запрос в личку пришел на ЛинкедИне, было 4 этапа собеседования суммарно на две недели, обратная связь между созвонами была быстрая, так же как и офер. Я познакомился с 5 людьми из компании за это время, и мне все понравилось, поэтому я принял офер.
Не знаю можно ли сказать что я вышел на рынок, потому что активно не откликался. Это идет вразрез с тем, что я обычно читаю в соцсетях о найме и пока не знаю, чем это можно объяснить. Возможно у вас есть что сказать, пишите в комментарии, буду рад узнать ваше мнение"
2025-05-23 13:26:24+00:00,"Наверное, уже можно писать про то, что я попробовал вайбкодить с CursorAI
Последние год-два я просто использовал копилот в своей работе, но поработать с агентской системой не доходили руки. В один прекрасный вечер я оплатил курсор и решил проверить его возможности. Сначала я хотел сделать пет проект для собственных нужд, это сокращатель ссылок с аналитикой и другими расширенными возможностями. идеалом для меня считается Yourls, который я разворачивал еще в 2018 году, когда пытался в Wordpress. Альтернатив Yourls на питоне нет.
Недолго думая, я загрузил их репозиторий и попросил переписать все на питон. Не особо внимая в приосходящее, я только проверял работоспособность и указывал на недостатки. Базовую функциональность удалось перенести за 4 часа, что в целом впечатляет. Не думаю, что кто то из людей, за такое время смог бы написать с нуля или переписать с  php на python полноценное приложение вместе с шаблонами. Если хоется посмотреть что получилось, то ссылка на репо
тут
.
Так же я попробовал написать плагин для PyCharm, до которого не дошли руки. По итогу после двух часов, агент так и не смог запустить среду в которой бы плагин работал, т.е. можно считать, что это зря потраченное время. Можно сказать что это не процесс вабкодинга и в процессе нужно разбираться, что и почему там Java не работает. Что удивительно, то на Java я попробовал создать так же приложения для андроид, и приложение с условной одной кнопкой собралось и запустилось без проблем. Видимо это более простая задача, чем плагин для другой программы.
Еще одним проектом был мой пет, который я пишу для того чтобы практиковаться и реализовывать свои хотелки. После первого вау опыта со стеками, которыми я не владею начал проверять как он работает с тем, в чем я понимаю.
Первые пару часов я откровенно плевался, потому что он просто менял любые части кода не учитывая контекст и роняя тесты. Пытался подстраивать код под тесты, например, переписывая логику инициализация, вместо того, чтобы править фикстуры тестов под новую функциональность.
Выводы, при работе, когда нужен результат, который нужно поддерживать, нужно формулировать задачи в полном объеме и очень конкретно. Если есть примеры тестов или готовй логики, нужно прикреплять ее и говорить, чтобы ллимка ориентировалась на нее. Ограничивать поле действия теми моделями, которые должны быть затронуты, чтобы не было попыток переписать, то что переписываться не должно. В целом, наверное это уже общеизвестные советы при работе с chatgpt.
Это в целом прикольное занятие и можно в целом использовать такие вещи как курсор для каких то задач, но не для задач в которых требуется глубокое погружение и понимание предметной области, потому что переделывать будет больнее, а формулировать дольше, чем самому написать
Для меня все таки вайбкодингом останется процесс, когда ты просто пишешь код, рядом чашка горячего кофе, в ушах играет любимый плейлист, а у тебя есть контроль над процессом и ты создаешь что то новое своими руками"
2025-05-21 18:00:25+00:00,"Сегодня хотел поделиться видео на тему архитектуры.
Мне понравилось это видео идеей, даже не про то, что есть что-то кроме деления на монолиты и микро сервисы, а про то, что в общей картинке это всегда про инкапсуляцию и слои абстракции. Куски кода которые мы пишем, напоминают части конструктора лего, из которых мы можем сделать потом или монолит, или микросервис, или сокол тысячелетия.
Ссылка на видео:
https://www.youtube.com/watch?v=S9Zj_iU_EtM
Если у вас после просмотра проявились мысли, пишите их в комментарии"
